Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      101     0.00     0.00  std::operator==(std::_Rb_tree_iterator<char> const&, std::_Rb_tree_iterator<char> const&)
  0.00      0.00     0.00       72     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00       66     0.00     0.00  check(int, int)
  0.00      0.00     0.00       66     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::new_allocator()
  0.00      0.00     0.00       66     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::~new_allocator()
  0.00      0.00     0.00       66     0.00     0.00  std::set<char, std::less<char>, std::allocator<char> >::size() const
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::size() const
  0.00      0.00     0.00       66     0.00     0.00  std::allocator<std::_Rb_tree_node<char> >::allocator()
  0.00      0.00     0.00       66     0.00     0.00  std::allocator<std::_Rb_tree_node<char> >::~allocator()
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree_header::_Rb_tree_header()
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree_key_compare<std::less<char> >::_Rb_tree_key_compare()
  0.00      0.00     0.00       66     0.00     0.00  std::set<char, std::less<char>, std::allocator<char> >::set()
  0.00      0.00     0.00       66     0.00     0.00  std::set<char, std::less<char>, std::allocator<char> >::~set()
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Rb_tree_impl<std::less<char>, true>::_Rb_tree_impl()
  0.00      0.00     0.00       66     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Rb_tree_impl<std::less<char>, true>::~_Rb_tree_impl()
